weight,lbturkey,lb turkey,pound turkey,total
1,0,0,0,0
2,1,1,0,2
3,2,2,4,8
4,2,3,0,5
5,1,3,1,5
6,2,2,0,4
7,1,2,1,4
8,1,4,1,6
9,1,3,5,9
10,9,5,9,23
11,5,2,1,8
12,10,8,17,35
13,11,4,10,25
14,17,15,16,48
15,22,16,20,58
16,11,9,17,37
17,11,4,9,24
18,9,12,16,37
19,8,8,11,27
20,88,53,78,219
21,6,13,26,45
22,28,19,46,93
23,17,14,33,64
24,17,16,26,59
25,20,23,20,63
26,10,10,17,37
27,3,6,7,16
28,4,8,19,31
29,0,3,2,5
30,17,18,28,63
31,1,1,2,4
32,1,1,4,6
33,4,5,3,12
34,2,0,2,4
35,0,1,5,6
36,0,0,3,3
37,1,0,2,3
38,5,2,3,10
39,0,2,0,2
40,3,3,6,12